"","tip.lab","dates"
"551","CY235824","2017/05/08"
"552","CY234794","2017/05/02"
"553","MF182474","2017/02/01"
"554","CY227262","2017/02/21"
"555","CY227414","2017/02/23"
"556","CY232562","2017/04/11"
"557","CY216713","2017/01/27"
"558","CY221918","2017/02/20"
"559","CY231112","2017/02/27"
"560","CY227278","2017/02/22"
"561","CY225422","2017/03/13"
"562","CY228757","2017/03/13"
"563","CY218929","2017/01/08"
"564","CY220735","2017/02/01"
"565","CY234514","2017/04/05"
"566","CY235416","2017/05/13"
"567","CY227782","2017/03/21"
"568","CY214082","2016/12/30"
"569","CY225374","2017/03/03"
"570","CY224062","2017/02/14"
"571","CY225006","2017/02/09"
"572","CY222821","2017/02/01"
"573","CY235776","2017/04/26"
"574","CY227654","2017/03/09"
"575","CY227670","2017/03/08"
"576","KY950201","2017/01/10"
"577","CY219209","2017/01/17"
"578","CY212714","2016/12/09"
"579","CY210775","2016/11/15"
"580","CY212738","2016/12/08"
"581","KY949688","2017/01/03"
"582","CY235027","2017/01/11"
"583","CY234522","2017/03/28"
"584","CY232468","2017/03/31"
"585","CY224110","2017/02/27"
"586","CY220175","2017/01/23"
"587","CY214242","2017/01/01"
"588","CY228837","2017/03/26"
"589","CY227742","2017/02/25"
"590","CY214010","2017/01/03"
"591","CY225262","2017/03/07"
"592","CY232232","2016/11/29"
"593","CY217914","2016/11/29"
"594","CY224102","2017/01/24"
"595","CY215058","2016/12/29"
"596","CY213306","2016/12/29"
"597","CY226551","2017/01/24"
"598","CY234997","2017/01/03"
"599","CY218002","2016/12/27"
"600","CY209416","2016/10/17"
"601","CY220303","2017/02/01"
"602","CY221814","2017/01/24"
"603","CY225406","2017/03/12"
"604","MF182498","2017/01/12"
"605","KY583630","2017/01/16"
"606","CY211474","2016/11/14"
"607","CY209128","2016/10/31"
"608","CY209392","2016/10/08"
"609","KY289627","2016/10/19"
"610","KY116654","2016/10/10"
"611","CY234996","2016/12/20"
"612","KY583613","2016/12/29"
"613","KY583614","2016/12/09"
"614","KY583612","2016/12/28"
"615","KY583632","2017/01/05"
"616","KY583609","2016/12/20"
"617","KY583631","2017/01/03"
"618","KY583529","2016/11/21"
"619","CY235008","2017/01/18"
"620","KY583633","2017/01/05"
"621","KY583608","2016/12/06"
"622","CY219229","2017/01/19"
"623","CY218937","2016/12/05"
"624","CY214754","2017/01/02"
"625","KY583713","2016/12/14"
"626","CY222949","2017/01/27"
"627","CY234907","2016/12/14"
"628","KY116502","2016/10/07"
"629","CY231077","2017/03/13"
"630","KY583610","2016/12/22"
"631","CY230197","2017/03/06"
"632","KY583607","2016/12/18"
"633","CY234706","2017/05/01"
"634","KY583661","2016/12/20"
"635","KY116438","2016/10/03"
"636","CY235400","2017/04/27"
"637","CY212938","2016/12/09"
"638","CY214674","2016/12/26"
"639","CY234498","2017/04/17"
"640","CY221894","2017/02/02"
"641","CY235033","2016/12/21"
"642","CY214746","2016/12/30"
"643","CY228877","2017/02/02"
"644","CY235032","2017/01/12"
"645","CY235552","2017/03/25"
"646","KY583637","2017/01/12"
"647","CY235023","2017/01/12"
"648","CY230834","2017/03/20"
"649","MF182502","2016/12/15"
"650","CY225238","2017/03/06"
"651","CY222829","2017/02/01"
"652","CY213298","2016/12/28"
"653","CY226479","2017/01/11"
"654","KY289390","2016/10/18"
"655","CY228461","2017/03/02"
"656","CY211930","2016/11/26"
"657","MF182464","2017/03/14"
"658","CY215050","2017/01/04"
"659","CY230594","2017/03/10"
"660","KY289439","2016/10/16"
"661","CY218023","2016/12/27"
"662","KY289361","2016/10/13"
"663","CY216425","2017/01/10"
"664","KY289579","2016/10/14"
"665","CY209000","2016/10/27"
"666","CY234957","2017/01/06"
"667","CY215881","2017/01/07"
"668","CY214530","2016/12/29"
"669","CY227726","2017/02/23"
"670","CY212474","2016/12/05"
"671","CY215042","2017/01/04"
"672","CY210591","2016/11/20"
"673","CY223029","2017/01/30"
"674","CY220231","2017/01/14"
"675","CY214658","2016/12/27"
"676","KY950141","2017/01/09"
"677","KY583536","2016/12/03"
"678","KY583516","2016/12/19"
"679","KY583538","2016/12/19"
"680","KY583663","2016/12/21"
"681","KY583564","2016/12/05"
"682","KY583593","2016/12/19"
"683","KY583642","2017/01/06"
"684","KY583645","2017/01/04"
"685","KY583643","2017/01/06"
"686","KY583511","2017/01/06"
"687","KY583539","2017/01/02"
"688","KY583510","2017/01/05"
"689","KY583535","2016/11/21"
"690","KY583714","2017/01/04"
"691","KY583582","2016/11/22"
"692","KY583567","2016/12/12"
"693","MF182466","2017/01/09"
"694","CY234979","2017/01/04"
"695","KY583537","2016/12/05"
